rounds,gets,puts,keys,kv_node,quorum,clients,delay,latency (get),latency (put),stale cases,stale rate
1000,2,1,5,3,2,3,0,4.982,4.92433,0,0
1000,2,1,5,7,4,3,0,5.18533,5.18033,1,0.000167
1000,2,1,5,9,5,3,0,5.04633,4.9167,0,0
1000,2,1,5,3,1,2,2,13.211,13.1145,5,0.00125
1000,2,1,5,3,1,3,2,14.20133,14.15067,11,0.001833
1000,2,1,5,3,2,2,2,15.134,15.299,0,0
1000,2,1,5,3,2,3,2,15.958167,15.80167,17,0.002833
1000,2,1,5,3,3,2,2,18.22525,18.4885,4,0.001
1000,2,1,5,3,3,3,2,19.5575,19.629,0,0
1000,2,1,5,7,1,2,2,12.30775,12.424,6,0.0015
1000,2,1,5,7,1,3,2,12.12067,12.08867,15,0.0025
1000,2,1,5,7,2,2,2,13.17525,13.2985,0,0
1000,2,1,5,7,2,3,2,13.49383,13.6133,0,0
1000,2,1,5,7,4,2,2,14.9115,14.8945,3,0.00075
1000,2,1,5,7,4,3,2,15.343167,15.29367,11,0.001833
1000,2,1,5,7,7,2,2,19.85775,20.096,0,0
1000,2,1,5,7,7,3,2,20.74467,20.81733,27,0.0045
1000,2,1,5,9,1,2,2,11.9535,11.779,9,0.00225
1000,2,1,5,9,1,3,2,12.55933,12.50833,21,0.0035
1000,2,1,5,9,5,2,2,14.99825,15.009,6,0.0015
1000,2,1,5,9,5,3,2,15.3505,15.13733,2,0.00033
1000,2,1,5,9,9,2,2,20.929,20.7285,4,0.001
1000,2,1,5,9,9,3,2,21.0685,21.039,11,0.001833
1000,2,1,5,3,1,3,5,28.2375,28.523,30,0.005
1000,2,1,5,3,2,3,5,33.502833,33.902,18,0.003
1000,1,1,5,3,2,3,5,33.64267,33.58867,0,0
1000,2,1,5,3,3,3,5,41.161167,40.709,24,0.004
1000,2,1,5,7,1,3,5,24.21967,24.65867,75,0.0125
1000,2,1,5,7,2,3,5,26.507833,26.231,6,0.001
1000,2,1,5,7,4,3,5,30.91633,31.34433,25,0.004167
1000,1,1,5,7,4,3,5,30.97933,31.26033,6,0.002
1000,2,1,5,7,7,3,5,44.41767,44.344,32,0.00533
1000,2,1,5,9,1,3,5,23.33067,23.33233,61,0.010167
1000,2,1,5,9,5,3,5,31.53433,31.47,2,0.00033
1000,1,1,5,9,5,3,5,33.61031,33.97825,7,0.00233
1000,2,1,5,9,9,3,5,46.97433,46.858,37,0.006167
